"Date","S65E_PHOSPHATE, TOTAL AS P_mg/L","S65E_S_FLOW_cfs"
"2010-10-11",0.064,933001.584558624
"2010-10-13",0.089,32955.3726078528
"2010-10-26",0.054,468470.285594035
"2010-10-27",0.066,273306.95427047
"2010-11-04",0.051,277221.475144454
"2010-11-09",0.054,185230.23460583
"2010-11-10",0.054,422499.131080186
"2010-11-17",0.049,187823.604684845
"2010-11-29",0.041,252559.993638355
"2010-11-30",0.043,280891.338463814
"2010-12-08",0.052,69629.5400459904
"2010-12-09",0.044,641125.121892192
"2010-12-22",0.0435,354631.125427488
"2010-12-29",0.058,826722.342829959
"2011-01-05",0.068,332538.548244941
"2011-01-10",0.038,222564.977441453
"2011-01-12",0.055,367255.455246086
"2011-01-19",0.055,551262.402078797
"2011-01-24",0.036,52821.5660433216
"2011-01-26",0.046,1022008.00293084
"2011-02-02",0.051,238883.636334874
"2011-02-07",0.039,654654.684662899
"2011-02-09",0.043,584878.350084134
"2011-02-16",0.0475,433973.570392051
"2011-02-17",0.044,573257.116239494
"2011-02-23",0.0475,202307.331918586
"2011-03-03",0.051,196533.413629459
"2011-03-09",0.05275,251605.829175322
"2011-03-17",0.067,189780.865121837
"2011-03-23",0.0485,122035.188246451
"2011-03-30",0.055,1015769.23528792
"2011-04-06",0.067,2074084.41932496
"2011-04-13",0.064,2284489.9163016
"2011-04-20",0.076,1883765.30758295
"2011-04-27",0.066,2411124.66657498
"2011-05-04",0.069,1934091.36656911
"2011-05-11",0.058,1585699.00878453
"2011-05-18",0.0575,1541538.3201749
"2011-05-25",0.053,815003.245963469
"2011-06-01",0.058,251459.034642547
"2011-06-08",0.0465,139136.751314669
"2011-06-22",0.037,733.972663872
"2011-07-06",0.0475,2063980.06231899
"2011-07-13",0.104,1920121.42020008
"2011-07-20",0.2655,3643758.35828162
"2011-07-27",0.263,1244352.78857313
"2011-08-03",0.254,1740444.91208421
"2011-08-10",0.223,2245491.50209453
"2011-08-17",0.177,1325383.3706646
"2011-08-24",0.141,1798551.08130741
"2011-08-31",0.099,1166037.90533798
"2011-09-07",0.086,3161171.33178578
"2011-09-14",0.0705,5095164.83533304
"2011-09-21",0.1,2582433.88632271
"2011-09-28",0.096,3550030.04910517
"2011-10-05",0.051,4931317.67100134
"2011-10-12",0.1535,49859252.3719342
"2011-10-19",0.1435,41629559.4125139
"2011-10-26",0.0645,26836854.1530385
"2011-11-02",0.073,13803261.1770651
"2011-11-07",0.085,8133885.0610295
"2011-11-09",0.085,6755851.38460982
"2011-11-16",0.071,4161869.66170886
"2011-11-22",0.079,2923902.43531142
"2011-11-23",0.071,2980100.27560856
"2011-11-30",0.079,1132373.02582172
"2011-12-07",0.0695,1232486.89717386
"2011-12-14",0.057,1626777.0122059
"2011-12-21",0.0525,1537525.93627907
"2011-12-28",0.041,903789.472536519
"2012-01-04",0.046,1137828.88928984
"2012-01-11",0.05,941735.859258701
"2012-01-18",0.046,1277748.5447793
"2012-01-25",0.046,2107798.23035215
"2012-02-01",0.0385,1628147.0945118
"2012-02-08",0.037,1796765.08115866
"2012-02-15",0.0455,2209428.97854296
"2012-02-22",0.044,2004087.89294703
"2012-02-29",0.036,1793829.19050317
"2012-03-07",0.045,1425301.51597304
"2012-03-14",0.047,1371085.40186836
"2012-03-21",0.046,995242.46645497
"2012-03-28",0.0505,115282.639738829
"2012-04-11",0.057,28624.933891008
"2012-04-18",0.077,59378.3885072448
"2012-04-25",0.064,1054718.71798406
"2012-05-02",0.06,860607.414145382
"2012-05-09",0.045,385776.032131123
"2012-05-16",0.0475,419489.84315831
"2012-05-23",0.046,1917919.50220846
"2012-05-30",0.056,1906347.19987475
"2012-06-06",0.051,341615.343521491
"2012-06-13",0.056,275435.474995699
"2012-06-20",0.053,337407.233581958
"2012-06-27",0.074,3613518.68453009
"2012-07-03",0.092,2359917.84039218
"2012-07-11",0.1635,717800.799511354
"2012-07-18",0.175,1842075.66027502
"2012-07-25",0.1485,1199140.07247861
"2012-08-01",0.123,452029.297923302
"2012-08-08",0.103666666666667,414743.486598605
"2012-08-15",0.104,531885.523752576
"2012-08-22",0.104,1317847.91798218
"2012-08-29",0.162,29444389.9044656
"2012-09-05",0.2365,16971796.701245
"2012-09-12",0.222,14370793.3065264
"2012-09-19",0.1315,9036989.49241308
"2012-09-26",0.145,15184206.2783848
"2012-10-03",0.111,10330322.7234219
"2012-10-10",0.13,14255681.9270758
"2012-10-17",0.1025,6668533.10336452
"2012-10-24",0.114,3867179.63716426
"2012-10-31",0.131,1815285.65804369
"2012-11-07",0.109,2245442.57058361
"2012-11-14",0.079,1113901.38044761
"2012-11-21",0.079,490734.123064819
"2012-11-28",0.083,1557098.54064899
"2012-12-05",0.06,205561.277395085
"2012-12-12",0.057,1619339.42254533
"2012-12-19",0.0755,2112813.71022194
"2012-12-26",0.08,1002606.65884915
"2013-01-02",0.073,835774.672351046
"2013-01-09",0.073,1000722.79567855
"2013-01-16",0.064,494770.972716115
"2013-01-23",0.066,649810.465081344
"2013-01-30",0.067,594493.391980858
"2013-02-06",0.0625,263667.446618285
"2013-02-13",0.0555,602028.844663277
"2013-02-20",0.038,341077.096901318
"2013-02-27",0.051,513169.22082384
"2013-03-06",0.07,477008.834250413
"2013-03-13",0.0535,363634.523437651
"2013-03-27",0.045,704026.579186022
"2013-04-03",0.045,449851.845687149
"2013-04-10",0.0435,526233.934240762
"2013-04-17",0.041,558161.745119194
"2013-04-24",0.0475,544045.004217389
"2013-05-01",0.057,662679.452454566
"2013-05-08",0.0513333333333333,1726523.89722611
"2013-05-15",0.057,2061068.63741896
"2013-05-22",0.0565,1826295.24800177
"2013-05-29",0.059,1140789.24570079
"2013-06-05",0.0485,881623.498087584
"2013-06-12",0.086,4732704.66815758
"2013-06-19",0.2075,3187545.41617425
"2013-06-26",0.189,5231561.42203592
"2013-07-02",0.1435,10733983.2227961
"2013-07-10",0.225,12308770.5046444
"2013-07-17",0.158,15942693.6292301
"2013-07-24",0.13,18317584.5119653
"2013-07-31",0.1255,23006471.0120897
"2013-08-07",0.0985,16762296.4372205
"2013-08-14",0.0755,11823320.9847594
"2013-08-21",0.076,6770335.11184357
"2013-08-28",0.091,7879294.40968777
"2013-09-04",0.072,7368620.6959211
"2013-09-11",0.0995,6725831.90265746
"2013-09-18",0.081,7339310.72087714
"2013-09-25",0.1455,4302278.63230758
"2013-10-02",0.102,6953461.29147963
"2013-10-09",0.0905,2090647.73577301
"2013-10-16",0.099,786549.572360698
"2013-10-23",0.0795,764408.063667226
"2013-10-30",0.054,717482.744690342
"2013-11-04",0.095,645847.012696435
"2013-11-06",0.0775,701995.921482643
"2013-11-13",0.067,667303.48023696
"2013-11-20",0.0555,805975.382197843
"2013-11-27",0.037,781705.352779142
"2013-12-04",0.043,488263.081763117
"2013-12-11",0.035,591973.41916823
"2013-12-18",0.049,612598.051023034
"2013-12-26",0.048,524863.851934867
"2013-12-30",0.046,604010.570855731
"2014-01-08",0.044,691744.769943898
"2014-01-15",0.043,634715.093961043
"2014-01-22",0.054,613111.831887744
"2014-01-29",0.0565,894052.101862483
"2014-02-03",0.047,1297957.25879124
"2014-02-05",0.057,2529098.53941468
"2014-02-12",0.056,3924160.38163619
"2014-02-19",0.054,3314865.20760058
"2014-02-26",0.0595,3411137.95534512
"2014-03-05",0.07,2462698.47908972
"2014-03-12",0.071,1458281.35433635
"2014-03-19",0.117,2693068.03252368
"2014-03-26",0.061,2602324.54551364
"2014-04-02",0.069,2940343.42298216
"2014-04-09",0.0505,3114392.80734167
"2014-04-16",0.049,3179422.78536073
"2014-04-23",0.0615,2758489.46263014
"2014-04-30",0.064,1178857.96120028
"2014-05-05",0.065,2385924.93844871
"2014-05-07",0.06,2986143.31720777
"2014-05-14",0.065,3360102.38945055
"2014-05-21",0.071,2589528.9554068
"2014-05-28",0.078,1067930.22593376
"2014-06-04",0.078,604328.625676742
"2014-06-11",0.088,1468165.51954316
"2014-06-18",0.0745,3424349.46329482
"2014-06-25",0.078,3630742.57637562
"2014-07-01",0.185,4360825.1851291
"2014-07-09",0.165,4648542.46936692
"2014-07-16",0.146,6966085.62129823
"2014-07-23",0.143,9856885.88946902
"2014-07-30",0.124,8636827.59607006
"2014-08-07",0.115,7740793.76801512
"2014-08-13",0.1085,7414836.50798957
"2014-08-18",0.094,12094352.6237719
"2014-08-20",0.076,12061470.6484304
"2014-08-27",0.0775,6552222.90189627
"2014-09-03",0.082,2006485.53698235
"2014-09-10",0.106,3818321.52350584
"2014-09-17",0.089,3771812.12237182
"2014-09-24",0.087,6825676.65069951
"2014-10-01",0.109,23031719.6717269
"2014-10-08",0.0695,12502710.5481948
"2014-10-15",0.059,5311588.90815343
"2014-10-22",0.087,1936024.16125064
"2014-10-30",0.121,2288967.14955122
"2014-11-03",0.085,1221330.51268301
"2014-11-05",0.0855,1070474.66450185
"2014-11-12",0.082,599704.597894349
"2014-11-19",0.0635,739991.23971575
"2014-11-26",0.08,3319587.09840482
"2014-12-03",0.0655,4086882.12121661
"2014-12-10",0.063,4644334.35942739
"2014-12-17",0.0595,3903388.95524861
"2014-12-23",0.049,4502897.82709926
"2014-12-30",0.053,3766233.93012639
"2015-01-07",0.062,2466466.20543093
"2015-01-14",0.0645,3180328.01831284
"2015-01-21",0.055,4745328.99797618
"2015-01-28",0.0515,7597669.09856008
"2015-02-02",0.038,7439400.12647382
"2015-02-04",0.043,7039605.21646274
"2015-02-11",0.032,9916875.92186283
"2015-02-18",0.036,13648857.7943419
"2015-02-25",0.0395,8511220.4075261
"2015-03-04",0.043,15123384.4103052
"2015-03-11",0.0635,11216496.8520255
"2015-03-18",0.058,5033388.80279048
"2015-03-25",0.079,2710634.44494568
"2015-04-01",0.077,2466466.20543093
"2015-04-08",0.0525,2723797.02138445
"2015-04-15",0.05,3464204.17894307
"2015-04-22",0.0585,5172892.54043708
"2015-04-29",0.065,10341136.5873363
"2015-05-04",0.054,7033953.62695093
"2015-05-06",0.056,6020092.72058907
"2015-05-13",0.051,1164472.09698839
"2015-05-20",0.062,1077447.40480863
"2015-05-27",0.074,540203.880609792
"2015-06-03",0.0625,1073386.08940188
"2015-06-10",0.081,1297981.72454671
"2015-06-17",0.058,1078328.17200528
"2015-06-24",0.066,691133.126057338
"2015-07-01",0.052,1272586.27037674
"2015-07-08",0.061,1855898.81211128
"2015-07-15",0.0755,1842442.64660696
"2015-07-22",0.074,1028515.89388383
"2015-07-29",0.08,1498600.91933839
"2015-08-03",0.072,1687036.16790979
"2015-08-05",0.079,2088005.43418307
"2015-08-12",0.08075,3254190.13405382
"2015-08-19",0.085,4436840.28735078
"2015-08-26",0.124,7992570.85747868
"2015-09-02",0.118,12522894.7964513
"2015-09-09",0.0685,14924991.5992606
"2015-09-16",0.06,13731233.9929838
"2015-09-23",0.0735,12902187.4033849
"2015-09-30",0.075,10187222.5197223
"2015-10-07",0.085,7220456.0808408
"2015-10-14",0.069,5714001.65399898
"2015-10-21",0.064,3759261.18981961
"2015-10-26",0.048,4346072.33458527
"2015-10-28",0.053,4976823.97616141
"2015-11-04",0.058,3222188.92590901
"2015-11-12",0.075,1538137.58016563
"2015-11-18",0.0775,1241367.96640671
"2015-11-25",0.109,2804754.20620954
"2015-12-02",0.1435,1444262.4764564
"2015-12-09",0.173,2566506.67951669
"2015-12-17",0.1435,1565979.60988184
"2015-12-21",0.151,1009285.81009039
"2015-12-23",0.1285,1473254.39667934
"2015-12-30",0.115,1404309.8977863
"2016-01-04",0.11,1140250.99908061
"2016-01-07",0.1025,1273393.640307
"2016-01-14",0.0965,1890468.92457965
"2016-01-20",0.16,6890535.36843034
"2016-01-21",0.1295,6092168.8361813
"2016-01-27",0.1035,7769834.61974899
"2016-02-01",0.204,9611641.15671393
"2016-02-04",0.1615,8740342.20743148
"2016-02-11",0.1005,11100871.6917102
"2016-02-15",0.06,8666651.35197873
"2016-02-18",0.1075,7021084.6395777
"2016-02-24",0.131,7873349.23111041
"2016-02-29",0.097,8544420.43768858
"2016-03-03",0.1005,5510764.62337283
"2016-03-10",0.081,3447714.25976141
"2016-03-14",0.075,1347916.33144547
"2016-03-17",0.0905,1461510.83405739
"2016-03-24",0.103,1344735.78323535
"2016-03-28",0.105,3951537.56199861
"2016-03-31",0.0985,5647577.12791857
"2016-04-07",0.107,11018789.0821339
"2016-04-11",0.081,8905999.83766739
"2016-04-14",0.0755,6411764.99978663
"2016-04-22",0.0845,4581481.83364449
"2016-04-25",0.07,4678023.70469912
"2016-04-28",0.0815,3960076.11065499
"2016-05-05",0.0975,3377473.07582886
"2016-05-09",0.08,3940527.97204053
"2016-05-12",0.0735,3721681.78942936
"2016-05-19",0.0795,5682538.69247434
"2016-05-23",0.173,20275163.0037783
"2016-05-26",0.149,18435925.3711369
"2016-06-02",0.1235,12362497.3036398
"2016-06-06",0.111,8780025.66279149
"2016-06-08",0.1105,8686517.5454142
"2016-06-16",0.121,17999431.8279322
"2016-06-20",0.117,12651731.4647163
"2016-06-22",0.1115,11452884.9813032
"2016-06-30",0.089,7635884.60859235
"2016-07-06",0.092,4598876.98577825
"2016-07-07",0.1025,4524598.95219441
"2016-07-14",0.133,3180939.6621994
"2016-07-18",0.116,2996051.94817004
"2016-07-21",0.146,2488827.90592356
"2016-07-28",0.065,2955414.328347
"2016-08-01",0.089,2254641.69463747
"2016-08-04",0.083,2767468.39488484
"2016-08-11",0.0795,2720910.06223989
"2016-08-15",0.079,2699551.45772122
"2016-08-18",0.084,2575877.06385878
"2016-08-25",0.083,2109143.84690258
"2016-08-29",0.094,2970803.28853285
"2016-09-01",0.085,5844673.25392366
"2016-09-08",0.1375,8938735.01847608
"2016-09-12",0.145,13170503.343541
"2016-09-15",0.13,12761117.8573887
"2016-09-21",0.111,15051234.8974466
"2016-09-26",0.094,12998044.2332866
"2016-09-29",0.1055,12589441.651309
"2016-10-10",0.122,10132639.4192857
"2016-10-13",0.105,8830400.65328857
"2016-10-20",0.0935,5492292.97799871
"2016-10-24",0.086,4102956.1225554
"2016-10-27",0.078,3069620.47484548
"2016-11-03",0.088,2198150.26527479
"2016-11-07",0.073,2201061.69017482
"2016-11-10",0.0765,2085974.77647969
"2016-11-17",0.065,1957040.24519284
"2016-11-21",0.058,1980502.90468128
"2016-11-23",0.059,1961370.68390968
"2016-12-01",0.0565,1928611.03734553
"2016-12-08",0.0635,1917895.036453
"2016-12-14",0.0615,1951021.66934909
"2016-12-19",0.054,1861012.15500292
"2016-12-22",0.066,1972160.0820686
"2016-12-29",0.054,1374388.27885578
"2017-01-09",0.061,932267.611894752
"2017-01-18",0.058,892535.225023814
"2017-01-23",0.04,1147810.9175185
"2017-01-30",0.065,1071306.50018757
"2017-02-06",0.0755,1628978.93019752
"2017-02-13",0.087,625100.05206432
"2017-06-05",0.067,13945.480613568
"2017-09-13",0.286,10412234.07271
"2017-09-18",0.336,18865348.3110129
"2017-09-25",0.2215,17802849.4827918
"2017-10-02",0.187,17535756.8304088
"2017-10-09",0.173,11108627.3361918
"2017-10-16",0.211,4327429.42892293
"2017-10-23",0.15,3435285.65598651
"2017-10-30",0.143,6761013.65901239
"2017-11-06",0.1395,4625666.98800958
"2017-11-13",0.13,4560685.94150145
"2017-11-20",0.13,2823617.30367105
"2017-11-27",0.13,2943426.10817042
"2017-12-04",0.1065,1144459.10902015
"2018-03-26",0.062,509939.741102803
"2018-04-09",0.075,261245.336827507
"2018-05-21",0.0895,87587.404555392
"2018-06-04",0.293,46533.8668894848
"2018-12-11",0.075,46705.1271777216
"2018-12-26",0.091,285466.434735283
"2019-01-07",0.075,531078.153822317
"2019-01-22",0.097,1042730.49780749
"2019-02-04",0.081,3169954.53799678
"2019-02-18",0.117,4828218.97748279
"2019-03-04",0.129,2701239.59484812
"2019-03-06",0.141,2306655.89075053
"2019-05-20",0.074,1136018.42338562
"2019-06-03",0.054,278200.10536295
"2019-06-20",0.064,1770219.73648195
"2019-07-01",0.383,1942311.86040447
"2019-07-15",0.121,1959878.27282648
"2019-07-29",0.093,1776678.69592403
"2019-08-12",0.173,7077771.79498408
"2019-08-26",0.13,12475773.7514307
"2019-09-09",0.098,364221.701568749
"2019-09-23",0.08,2512070.37361284
"2019-10-08",0.098,894590.348482656
"2019-10-21",0.08,507126.179224627
"2019-11-04",0.081,282285.886525171
"2019-11-18",0.082,983498.903833018
"2019-12-02",0.064,841842.179705722
"2019-12-16",0.07,676331.344002586
"2019-12-30",0.066,985309.369737235
"2020-01-13",0.084,702240.579037267
"2020-01-27",0.081,306898.436520346
"2020-02-10",0.078,1872535.52582571
"2020-02-24",0.088,1239190.51417056
"2020-03-09",0.076,1073948.80177751
"2020-03-23",0.057,1133963.29992678
"2020-04-06",0.077,1031060.33245192
"2020-04-20",0.062,624292.682134061
"2020-05-04",0.063,1648869.58938845
"2020-05-18",0.056,243360.869584493
"2020-06-01",0.158,2206126.10155553
"2020-06-15",0.363,2232524.65169946
"2020-06-29",0.152,2123529.71111447
"2020-07-13",0.106,3398807.21459207
"2020-07-27",0.123,9354383.73802679
"2020-08-10",0.111,9821190.35224938
"2020-08-24",0.077,4266705.42386525
"2020-09-08",0.07,6483792.18386794
"2020-09-21",0.089,8877546.16406462
"2020-10-05",0.128,12004269.7121593
"2020-10-19",0.104,3549760.92579508
"2020-11-02",0.113,2823641.76942651
"2020-11-16",0.169,4709951.51557755
"2020-11-30",0.077,3740544.88689087
"2020-12-14",0.054,4232086.37988595
"2020-12-28",0.054,2816179.71401048
"2021-01-11",0.062,1715269.6497134
"2021-01-25",0.067,2140900.39749277
"2021-02-08",0.026,2308539.75392114
"2021-02-22",0.102,2505219.96208337
"2021-03-08",0.08,2246641.39260127
"2021-03-22",0.086,2022877.59314216
"2021-04-05",0.072,732137.73221232
"2021-04-19",0.065,1947841.12113898
"2021-05-03",0.065,2118783.35455476
"2021-05-17",0.077,1134207.9574814
"2021-06-01",0.057,771772.256061408
"2021-06-14",0.05,605478.516183475
"2021-06-28",0.028,2239497.39200625
"2021-07-12",0.108,2681618.05896728
"2021-07-26",0.117,4202482.81577645
"2021-08-09",0.156,4273042.05453001
"2021-08-23",0.142,5237677.86090152
"2021-09-07",0.081,4110858.56156976
"2021-09-20",0.072,5148989.49735032
"2021-10-04",0.105,5773722.5630827
"2021-10-18",0.075,4511607.63604387
"2021-11-01",0.066,3566691.22857506
"2021-11-15",0.083,3634118.85062943
"2021-11-29",0.086,929992.296636749
"2021-12-13",0.053,922212.186399706
"2021-12-27",0.073,931460.241964493
"2022-01-10",0.07,857255.605647034
"2022-01-24",0.061,1179053.68724398
"2022-02-07",0.069,2670363.81145457
"2022-02-21",0.07,2514174.42858261
"2022-03-07",0.083,703047.948967527
"2022-03-21",0.06,2091430.6399478
"2022-04-04",0.062,2260611.3389703
"2022-04-18",0.067,2902935.28288015
"2022-05-02",0.146,3964479.94663822
"2022-05-16",0.072,3074220.03687241
"2022-05-31",0.074,1366265.64804227
"2022-06-13",0.047,727073.320831603
"2022-06-27",0.052,940904.023572979
"2022-07-11",0.079,464751.49076375
"2022-07-25",0.072,108481.159720282
"2022-08-08",0.111,135564.751017158
"2022-08-22",0.152,658153.287694022
"2022-09-06",0.14,702803.291412902
"2022-09-19",0.13,3028126.55358125
"2022-10-03",0.192,23924768.6776154
"2022-10-17",0.102,32475794.8692788
"2022-10-31",0.134,11474781.8324421
"2022-11-14",0.153,7079508.86362191
"2022-11-28",0.128,7317291.54096098
"2022-12-12",0.098,3838065.388164
"2022-12-27",0.063,3526909.9101932
"2023-01-09",0.058,3707662.91154941
"2023-01-23",0.048,3372212.93840444
"2023-02-06",0.067,3406146.94123079
"2023-02-20",0.055,3152119.00226469
"2023-03-06",0.06,1885380.04744347
"2023-03-20",0.064,1271876.76346833
"2023-04-03",0.044,1107907.27035932
"2023-04-17",0.07,859457.52363865
"2023-05-01",0.09,597453.748391808
